team,cs2team,cse3score,cse2score,cse1score,id,newColumn,rankSE3,rankSE2,rankSE1,cse3scoreMax,cse3scoreMin,cse2scoreMax,cse2scoreMin,cse1scoreMax,cse1scoreMin,MeanRankingSE2_3,coefficient
22,7,82.5,91,72,141250050,782.5,97,25,152,82.5,82.5,91.0,84.0,79.0,66.0,17.4375,Infinity
22,7,82.5,86,66,141250077,782.5,97,66,172,82.5,82.5,91.0,84.0,79.0,66.0,17.4375,Infinity
23,34,72,89,80,141250124,3472,181,44,103,72.0,72.0,89.0,72.0,80.0,58.0,17.4375,Infinity
23,50,72,80,58,141250129,5072,181,141,194,72.0,72.0,89.0,72.0,80.0,58.0,17.4375,Infinity
23,44,72,72,69,141250170,4472,181,187,162,72.0,72.0,89.0,72.0,80.0,58.0,17.4375,Infinity
23,27,72,77,75,141250180,2772,181,159,140,72.0,72.0,89.0,72.0,80.0,58.0,17.4375,Infinity
24,43,90,88,78,141250063,4390,13,53,121,90.0,90.0,88.0,79.0,88.0,78.0,17.4375,Infinity
24,2,90,83,88,141250066,290,13,105,37,90.0,90.0,88.0,79.0,88.0,78.0,17.4375,Infinity
24,39,90,79,85,141250005,3990,13,152,58,90.0,90.0,88.0,79.0,88.0,78.0,17.4375,Infinity
24,43,90,84,83,141250026,4390,13,94,76,90.0,90.0,88.0,79.0,88.0,78.0,17.4375,Infinity
25,51,70,73,69,141250038,5170,186,181,162,70.0,70.0,73.0,66.0,69.0,53.0,17.4375,Infinity
25,44,70,73,55,141250064,4470,186,181,195,70.0,70.0,73.0,66.0,69.0,53.0,17.4375,Infinity
25,14,70,66,53,141250084,1470,186,197,196,70.0,70.0,73.0,66.0,69.0,53.0,17.4375,Infinity
25,5,70,73,63,141250092,570,186,181,183,70.0,70.0,73.0,66.0,69.0,53.0,17.4375,Infinity
26,11,81.5,79,76,141250053,1181.5,108,152,131,81.5,81.5,87.0,79.0,82.0,71.0,17.4375,Infinity
26,11,81.5,83,82,141250054,1181.5,108,105,84,81.5,81.5,87.0,79.0,82.0,71.0,17.4375,Infinity
26,11,81.5,83,80,141250049,1181.5,108,105,103,81.5,81.5,87.0,79.0,82.0,71.0,17.4375,Infinity
26,29,81.5,87,71,141250078,2981.5,108,60,155,81.5,81.5,87.0,79.0,82.0,71.0,17.4375,Infinity
27,7,90,0,0,131130137,790,13,212,212,90.0,90.0,98.0,0.0,90.0,0.0,17.4375,Infinity
27,8,90,98,90,141250019,890,13,1,22,90.0,90.0,98.0,0.0,90.0,0.0,17.4375,Infinity
27,15,90,80,89,141250023,1590,13,141,28,90.0,90.0,98.0,0.0,90.0,0.0,17.4375,Infinity
27,24,90,88,82,141250179,2490,13,53,84,90.0,90.0,98.0,0.0,90.0,0.0,17.4375,Infinity
28,12,87,94,88,141250117,1287,45,9,37,87.0,87.0,94.0,84.0,88.0,71.0,17.4375,Infinity
28,12,87,85,71,141250114,1287,45,84,155,87.0,87.0,94.0,84.0,88.0,71.0,17.4375,Infinity
28,12,87,85,84,141250112,1287,45,84,66,87.0,87.0,94.0,84.0,88.0,71.0,17.4375,Infinity
28,12,87,84,85,141250141,1287,45,94,58,87.0,87.0,94.0,84.0,88.0,71.0,17.4375,Infinity
29,15,76,77,74,141250021,1576,162,159,148,76.0,76.0,85.0,77.0,87.0,74.0,17.4375,Infinity
29,25,76,81,80,141250185,2576,162,131,103,76.0,76.0,85.0,77.0,87.0,74.0,17.4375,Infinity
